2022-07-02 20:23:28 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2022-07-02 20:23:28 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_1
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: listPageUsingGET_1
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_1
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: updateByIdUsingPUT_1
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_2
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_1
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_2
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: updateByIdUsingPUT_2
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_3
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: listPageUsingGET_2
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_2
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_4
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: listAllUsingGET_1
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: listPageUsingGET_3
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_3
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_3
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: updateByIdUsingPUT_3
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_5
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: removeByIdUsingDELETE_4
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: saveUsingPOST_4
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: updateByIdUsingPUT_4
2022-07-02 20:23:28 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getByIdUsingGET_6
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: nestedListUsingGET_1
2022-07-02 20:23:28 |INFO  |main |CachingOperationNameGenerator.java:40 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: listAllUsingGET_2
2022-07-02 20:23:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8140"]
2022-07-02 20:23:28 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8140 (http) with context path ''
2022-07-02 20:23:28 |INFO  |main |NacosServiceRegistry.java:62 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, service-cms 192.168.1.128:8140 register finished
2022-07-02 20:23:28 |INFO  |main |StartupInfoLogger.java:61 |com.atguigu.guli.service.cms.ServiceCmsApplication |Started ServiceCmsApplication in 2.342 seconds (JVM running for 2.594)
2022-07-02 20:23:36 |INFO  |http-nio-8140-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-02 20:23:36 |INFO  |http-nio-8140-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2022-07-02 20:23:36 |INFO  |http-nio-8140-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 7 ms
2022-07-02 20:34:49 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:74 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2022-07-02 20:34:49 |INFO  |SpringContextShutdownHook |NacosServiceRegistry.java:93 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2022-07-02 20:34:49 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2022-07-02 20:34:53 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 20:34:53 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 20:34:53 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 20:44:07 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 20:44:07 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 20:44:07 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 20:48:55 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 20:48:55 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 20:48:55 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 20:49:51 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 20:49:51 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 20:49:51 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 20:52:16 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 20:52:16 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 20:52:16 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 20:54:26 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 20:54:26 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 20:54:26 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 20:55:39 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
